Вопрос,Ответ,GigaChat,Результат
70,"К ПРОТИВОПОКАЗАНИЯМ ДЛЯ НАЗНАЧЕНИЯ БЕТА-БЛОКАТОРОВ У БОЛЬНЫХ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ОТНОСЯТ
А снижение фракции изгнания менее 2 0%
Б сердечную астму и отёк лёгких
В наличие атрио-вентирикулярной блокады I степени
Г снижение фракции изгнания менее 40 %",Б сердечную астму и отёк лёгких,"Правильный ответ: А.

Снижение фракции изгнания менее 20% является абсолютным противопоказанием к назначению бета-блокаторов у больных с хронической сердечной недостаточностью. Это связано с тем, что бета-блокаторы могут снижать сократительную способность сердца, что может привести к еще большему ухудшению состояния пациента. В то же время, другие варианты ответа (Б, В, Г) не являются абсолютными противопоказаниями к назначению бета-блокаторов и могут рассматриваться в каждом конкретном случае индивидуально.",-1
71,"В НОРМЕ КОНЕЧНЫЙ ДИАСТОЛИЧЕСКИЙ РАЗМЕР ЛЕВОГО ЖЕЛУДОЧКА В ПАРАСТЕРНАЛЬНОЙ ПОЗИЦИИ У ВЗРОСЛЫХ НА ЭХОКАРДИОГРАММЕ РАВЕН ДО (В ММ)
А 45
Б 56
В 60
Г 50",Б 56,"Правильный ответ: Г 50.

Конкретные значения могут варьироваться в зависимости от возраста, пола, телосложения и других факторов, но в среднем конечный диастолический размер левого желудочка у взрослых в парастернальной позиции на эхокардиограмме составляет около 50 мм. Это значение является нормой для большинства здоровых людей.",-1
72,"ОПТИМАЛЬНЫМ МЕТОДОМ ИССЛЕДОВАНИЯ ПРИ ПРЕДВАРИТЕЛЬНОМ ДИАГНОЗЕ «ПРОЛАБИРОВАНИЕ МИТРАЛЬНОГО КЛАПАНА» ЯВЛЯЕТСЯ
А допплерография
Б перфузионная сцинтиграфия
В селективная ангиография
Г эхокардиография",Г эхокардиография,"Г эхокардиография
",0
73,"ЗНАЧЕНИЕ СУТОЧНОГО ИНДЕКСА АРТЕРИАЛЬНОГО ДАВЛЕНИЯ 10-20% ХАРАКТЕРНО ДЛЯ
А Over-dipper
Б Non-dipper
В Dipper
Г Night-peaker",В Dipper,"Правильный ответ: Б. Non-dipper.

Суточный индекс артериального давления (САД) отражает разницу между дневным и ночным уровнем артериального давления. Если значение САД составляет 10-20%, это характерно для non-dipper. Этот термин описывает людей, у которых нет выраженного снижения артериального давления в ночное время. Это может быть признаком сердечно-сосудистых заболеваний или других состояний, требующих медицинского вмешательства.",-1
74,"НОРМАЛЬНЫЙ ЗУБЕЦ Q В ЛЕВЫХ ОТВЕДЕНИЯХ (АVL, V4-6) ОТРАЖАЕТ ДЕПОЛЯРИЗАЦИЮ
А базального отдела левого желудочков
Б передне-перегородочной стенки левого желудочка
В межжелудочковой перегородки
Г передней стенки правого желудочка",В межжелудочковой перегородки,"Правильный ответ: А.

Электрическая ось сердца направлена вниз и влево, поэтому в отведениях I, aVL, V5 и V6 зубец R высокий и широкий, а зубец S отсутствует. В отведениях III и aVF зубец R низкий, а зубец S высокий. Поэтому в отведениях I, aVL, V5 и V6 зубец Q может отражать деполяризацию только базального отдела левого желудочка.",-1
75,"РАННИМ ЭКГ-ПРИЗНАКОМ ГИПЕРКАЛИЕМИИ ЯВЛЯЕТСЯ
А укороченный интервал PQ
Б уширение комплекса QRS
В высокий остроконечный зубец Т
Г сглаженный зубец Т",В высокий остроконечный зубец Т,"Правильный ответ: В. Высокий остроконечный зубец Т является ранним ЭКГ-признаком гиперкалиемии. Гиперкалиемия может привести к нарушению проводимости и возбудимости миокарда, что проявляется изменениями на ЭКГ. Повышенный уровень калия в крови может вызывать удлинение интервала PR, расширение комплекса QRS и уплощение зубца T. Однако эти изменения обычно развиваются на поздних стадиях гиперкалиемии и не являются ранними признаками.",1
76,"НА ПРИЕМЕ ВРАЧОМ ПРИ ПОВТОРНЫХ ИЗМЕРЕНИЯХ АД БЫЛИ ЗАРЕГИСТРИРОВАНЫ ЗНАЧЕНИЯ 130/90, 138/92, 135/95, 120/94 ММ РТ.СТ., ПОЛУЧЕННЫЕ ДАННЫЕ СЛЕДУЕТ ТРАКТОВАТЬ КАК
А артериальная гипертензия III степени
Б нормальное АД
В артериальная гипертензия II степени
Г артериальная гипертензия I степени",Г артериальная гипертензия I степени ,"Согласно классификации артериальной гипертензии, принятой в 2019 году, у пациента диагностируется артериальная гипертензия II степени.

Обоснование: Артериальная гипертензия I степени (лёгкая) диагностируется при цифрах систолического (верхнего) давления от 140 до 159 мм рт. ст. и диастолического (нижнего) давления от 90 до 99 мм рт. ст. При II степени цифры систолического давления составляют 160–179 мм рт. ст., а диастолического — 100–109 мм рт. ст. У пациента были зарегистрированы следующие показатели: 130/90, 138/92, 135/95, 120/94 мм рт. ст. Таким образом, показатели соответствуют II степени артериальной гипертензии.",-1
77,"ДИАГНОЗ «СКРЫТАЯ АГ» ОПРЕДЕЛЯЕТСЯ УРОВНЯМИ (В ММ.РТ.СТ)
А среднесуточного амбулаторного АД <130/80 и повышенного «офисного» АД
Б эпизодически повышенного «офисного» АД и амбулаторного АД >135/85
В «офисного» АД >160-170/100 мм рт.ст. и дневного амбулаторного АД >135/85
Г дневного амбулаторного АД >135/85 и «офисного АД» <140/90
",Г дневного амбулаторного АД >135/85 и «офисного АД» <140/90,"Правильный ответ: Г.

Обоснование: диагноз «скрытая артериальная гипертензия» (АГ) устанавливается при отсутствии повышенного уровня среднесуточного амбулаторного давления, но при наличии повышенного «офисного» АД (в состоянии покоя). При этом показатели дневного амбулаторного АД должны быть выше 135/85 мм рт. ст., а «офисное» АД должно быть меньше 140/90 мм рт. ст.",1
78,"ЦЕЛЕВОЙ УРОВЕНЬ ДИАСТОЛИЧЕСКОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ, РЕКОМЕНДОВАННЫЙ ВСЕМ БОЛЬНЫМ АРТЕРИАЛЬНОЙ ГИПЕРТОНИЕЙ, ВНЕ ЗАВИСИМОСТИ ОТ СТЕПЕНИ РИСКА И НАЛИЧИЯ СОПУТСТВУЮЩЕЙ ПАТОЛОГИИ СОСТАВЛЯЕТ (В ММ РТ.СТ.)
А 70-79
Б >90
В >60
Г <100",А 70-79 ,"Правильный ответ — А. Целевой уровень диастолического артериального давления, рекомендованный всем больным артериальной гипертонией, вне зависимости от степени риска и наличия сопутствующей патологии, составляет 70–79 мм рт. ст.
",1
79,"НОРМАЛЬНАЯ МАССА СЕРДЦА ВЗРОСЛОГО ЧЕЛОВЕКА СОСТАВЛЯЕТ (В ГРАММАХ)
А 180-200
Б 100-120
В 480-500
Г 270-300",Г 270-300,Правильный ответ — Г. Нормальная масса сердца взрослого человека составляет от 270 до 300 граммов.,1
